Disease;Symptom_1;Symptom_2;Symptom_3;Symptom_4;Symptom_5;Symptom_6;Symptom_7;Symptom_8;Symptom_9
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite
Diabetes;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;lethargy;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;increased_appetite;polyuria
Migraine;acidity;indigestion;headache;blurred_and_distorted_vision;excessive_hunger;stiff_neck;depression;irritability;visual_disturbances
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes
Chicken pox;skin_rash;fatigue;lethargy;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;fatigue;lethargy;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;lethargy;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;headache;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;headache;loss_of_appetite;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;headache;loss_of_appetite;mild_fever;malaise
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite
Dengue;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;chills;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;chills;joint_pain;fatigue;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;chills;joint_pain;vomiting;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Typhoid;chills;vomiting;fatigue;high_fever;nausea;constipation;abdominal_pain;diarrhoea;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;constipation;abdominal_pain;diarrhoea;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;abdominal_pain;diarrhoea;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;diarrhoea;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea
Typhoid;chills;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea;toxic_look_(typhos)
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever
hepatitis A;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
